WKT,ID,名前,EN,住所,URL,無人化日,廃止日,スタンプ設置,住所判定用
"POINT (139.709028 35.707944)",16131.0,東京メトロ西早稲田駅,Tokyo Metro Nishi-waseda Station,〒162-0052 東京都新宿区戸山3-18-2,https://stamp.funakiya.com/metro-nishiwaseda.html,,,設置なし,35.707944, 139.709028
"POINT (139.737333 35.754444)",16132.0,東京メトロ王子駅,Tokyo Metro Oji Station,〒114-0002 東京都北区王子1-10-18,https://stamp.funakiya.com/metro-ouji.html,,,設置なし,35.754444, 139.737333
"POINT (139.797833 35.710833)",16133.0,東京メトロ浅草駅,Tokyo Metro Asakusa Station,〒111-0032 東京都台東区浅草1-1-3,https://stamp.funakiya.com/metro-asakusa.html,,,設置なし,35.710833, 139.797833
"POINT (139.764028 35.700556)",16134.0,東京メトロ御茶ノ水駅,Tokyo Metro Ochanomizu Station,〒113-0034 東京都文京区湯島1-5-8,https://stamp.funakiya.com/metro-ochanomizu.html,,,設置なし,35.700556, 139.764028
"POINT (139.782278 35.686306)",16135.0,東京メトロ人形町駅,Tokyo Metro Ningyocho Station,〒103-0013 東京都中央区日本橋人形町2-6-5,https://stamp.funakiya.com/metro-ningyocho.html,,,設置なし,35.686306, 139.782278
"POINT (139.872694 35.663611)",16136.0,東京メトロ葛西駅,Tokyo Metro Kasai Station,〒134-0083 東京都江戸川区中葛西5-43-11,https://stamp.funakiya.com/metro-kasai.html,,,設置なし,35.663611, 139.872694
"POINT (139.826944 35.645917)",16137.0,東京メトロ新木場駅,Tokyo Metro Shin-kiba Station,〒136-0082 東京都江東区新木場1-6,https://stamp.funakiya.com/metro-shinkiba.html,,,設置なし,35.645917, 139.826944
"POINT (139.774333 35.685333)",16138.0,東京メトロ三越前駅,Tokyo Metro Mitsukoshimae Station,〒103-0022 東京都中央区日本橋室町2-2-1,https://stamp.funakiya.com/metro-mitsukoshimae.html,,,設置なし,35.685333, 139.774333
"POINT (139.810556 35.645556)",16139.0,東京メトロ辰巳駅,Tokyo Metro Tatsumi Station,〒135-0053 東京都江東区辰巳1-1-44,https://stamp.funakiya.com/metro-tatsumi.html,,,設置なし,35.645556, 139.810556
"POINT (139.704139 35.691167)",16140.0,東京メトロ新宿三丁目駅,Tokyo Metro Shinjuku-sanchome Station,〒160-0022 東京都新宿区新宿5-18-22,https://stamp.funakiya.com/metro-shinjukusanchome.html,,,設置なし,35.691167, 139.704139
"POINT (139.704139 35.669028)",16142.0,東京メトロ明治神宮前駅,Tokyo Metro Meiji-jingumae Station,〒150-0001 東京都渋谷区神宮前1-18-22,https://stamp.funakiya.com/metro-meijijingumae.html,,,設置なし,35.669028, 139.704139
"POINT (139.745611 35.701944)",16143.0,東京メトロ飯田橋駅,Tokyo Metro Iidabashi Station,〒102-0072 東京都千代田区飯田橋4-10-3,https://stamp.funakiya.com/metro-iidabashi.html,,,設置なし,35.701944, 139.745611
"POINT (139.76325 35.672833)",16144.0,東京メトロ銀座駅,Tokyo Metro Ginza Station,〒104-0061 東京都中央区銀座4-1-2,https://stamp.funakiya.com/metro-ginza.html,,,設置なし,35.672833, 139.76325
"POINT (139.711944 35.73)",16145.0,東京メトロ池袋駅,Tokyo Metro Ikebukuro Station,〒171-0021 東京都豊島区西池袋1-12-1,https://stamp.funakiya.com/metro-ikebukuro.html,,,設置なし,35.73, 139.711944
"POINT (139.775972 35.71175)",16146.0,東京メトロ上野駅,Tokyo Metro Ueno Station,〒110-0015 東京都台東区東上野3-19-6,https://stamp.funakiya.com/metro-ueno.html,,,設置なし,35.71175, 139.775972
"POINT (139.773694 35.682528)",16147.0,東京メトロ日本橋駅,Tokyo Metro Nihombashi Station,〒103-0027 東京都中央区日本橋1-3-11,https://stamp.funakiya.com/metro-nihonbashi.html,,,設置なし,35.682528, 139.773694
"POINT (139.758472 35.667417)",16148.0,東京メトロ新橋駅,Tokyo Metro Shimbashi Station,〒105-0004 東京都港区新橋2-17-5,https://stamp.funakiya.com/metro-shinbashi.html,,,設置なし,35.667417, 139.758472
"POINT (139.700833 35.692222)",16149.0,東京メトロ新宿駅,Tokyo Metro Shinjuku Station,〒160-0023 東京都新宿区西新宿一丁目 西口地下街1号,https://stamp.funakiya.com/metro-shinjuku.html,,,設置なし,35.692222, 139.700833
