WKT,ID,名前,EN,住所,URL,無人化日,廃止日,スタンプ設置,住所判定用
"POINT (138.71086273916748 36.557143104845125)",24501.0,八ッ場見放台,,〒377-1301 群馬県吾妻郡長野原町川原畑994,https://stamp.funakiya.com/yambamihoudai.html,,,設置なし,36.557143104845125, 138.71086273916748
"POINT (138.7125252726475 36.55807665968919)",24502.0,なるほど！やんば資料館,,〒377-1302 群馬県吾妻郡長野原町川原湯,https://stamp.funakiya.com/yamba-museum.html,,,設置なし,36.55807665968919, 138.7125252726475
"POINT (139.78298 35.6892)",24592.0,旅チケット参加記念,,〒103-0006 東京都中央区日本橋富沢町8-10,https://stamp.funakiya.com/tabiticket.html,,,設置なし,35.6892, 139.78298
"POINT (136.88657129491435 36.40416461224805)",24642.0,細入村観光協会,,〒939-2187 富山県婦負郡細入村猪谷旦暮1085,https://stamp.funakiya.com/hosoiri-kanko.html,,,設置なし,36.40416461224805, 136.88657129491435
"POINT (139.01324677053543 36.32212765418129)",24696.0,イーサイト高崎,E'site Takasaki,〒370-0849 群馬県高崎市八島町222,https://stamp.funakiya.com/esite-takasaki.html,,,設置なし,36.32212765418129, 139.01324677053543
"POINT (139.70963 35.73117)",24987.0,豊島区観光情報センター,,〒171-0021 東京都豊島区西池袋1-19-7,https://stamp.funakiya.com/toshimaku-kanko.html,,,設置なし,35.73117, 139.70963
"POINT (139.6428957087199 35.45263124776364)",25036.0,横浜赤レンガ倉庫,,〒231-0001 神奈川県横浜市中区新港1-1,https://stamp.funakiya.com/yokohama-akarenga.html,,,設置なし,35.45263124776364, 139.6428957087199
"POINT (139.63697663731108 35.455146934376764)",25038.0,よこはまコスモワールド,,〒231-0001 神奈川県横浜市中区新港2-8-1,https://stamp.funakiya.com/yokohama-cosmoworld.html,,,設置なし,35.455146934376764, 139.63697663731108
"POINT (139.6382003773833 35.45594338351436)",25040.0,横浜みなとみらい万葉倶楽部,,〒231-0001 神奈川県横浜市中区新港2-7-1,https://stamp.funakiya.com/manyoclub-yokohama.html,,,設置なし,35.45594338351436, 139.6382003773833
"POINT (139.6389477681982 35.453989528283344)",25041.0,横浜ワールドポーターズ,,〒231-0001 神奈川県横浜市中区新港2-2-1,https://stamp.funakiya.com/yokohama-worldporters.html,,,設置なし,35.453989528283344, 139.6389477681982
"POINT (139.643147615803 35.44958627130294)",25042.0,象の鼻テラス,,〒231-0002 神奈川県横浜市中区海岸通1丁目,https://stamp.funakiya.com/yokohama-zounohana.html,,,設置なし,35.44958627130294, 139.643147615803
