WKT,ID,名前,EN,住所,URL,無人化日,廃止日,スタンプ設置,住所判定用
"POINT (141.002617 37.282689)",24132.0,JR竜田駅,JR Tatsuta Station,〒979-0603 福島県双葉郡楢葉町井出木屋126,https://stamp.funakiya.com/jr-tatsuta.html,,,設置あり,37.282689, 141.002617
"POINT (135.442008 34.791444)",24137.0,大阪モノレール大阪空港駅,Osaka Monorail Osaka Airport Station,〒560-0036 大阪府豊中市蛍池西町3-551,https://stamp.funakiya.com/osakamonorail-osakaairport.html,,,設置あり,34.791444, 135.442008
"POINT (135.449292 34.794589)",24142.0,大阪モノレール蛍池駅,Osaka Monorail Hotarugaike Station,〒560-0033 大阪府豊中市螢池中町3-1,https://stamp.funakiya.com/osakamonorail-hotarugaike.html,,,設置あり,34.794589, 135.449292
"POINT (135.495111 34.807444)",24144.0,大阪モノレール千里中央駅,Osaka Monorail Senri-Chuo Station,〒560-0082 大阪府豊中市新千里東町1-5-4,https://stamp.funakiya.com/osakamonorail-senrichuo.html,,,設置あり,34.807444, 135.495111
"POINT (135.530147 34.806758)",24145.0,大阪モノレール万博記念公園駅,Osaka Monorail Bampaku-kinen-koen Station,〒565-0826 大阪府吹田市千里万博公園,https://stamp.funakiya.com/osakamonorail-bampakukinenkoen.html,,,設置あり,34.806758, 135.530147
"POINT (135.565089 34.802431)",24146.0,大阪モノレール南茨木駅,Osaka Monorail Minami-ibaraki Station,〒567-0875 大阪府茨木市若草町2-1-13,https://stamp.funakiya.com/osakamonorail-minamiibaraki.html,,,設置あり,34.802431, 135.565089
"POINT (135.565706 34.793125)",24147.0,大阪モノレール沢良宜駅,Osaka Monorail Sawaragi Station,〒567-0866 大阪府茨木市高浜町194-4,https://stamp.funakiya.com/osakamonorail-sawaragi.html,,,設置あり,34.793125, 135.565706
"POINT (135.568553 34.765431)",24148.0,大阪モノレール南摂津駅,Osaka Monorail Minami-settsu Station,〒566-0074 大阪府摂津市東一津屋1201-3,https://stamp.funakiya.com/osakamonorail-minamisettsu.html,,,設置あり,34.765431, 135.568553
"POINT (135.45855 34.800397)",24153.0,大阪モノレール柴原阪大前駅,Osaka Monorail Shibahara-handai-mae Station,〒560-0055 大阪府豊中市柴原町4-115-1,https://stamp.funakiya.com/osakamonorail-shibahara.html,,,設置あり,34.800397, 135.45855
"POINT (135.475447 34.804272)",24154.0,大阪モノレール少路駅,Osaka Monorail Shoji Station,〒560-0004 大阪府豊中市少路1丁目,https://stamp.funakiya.com/osakamonorail-shoji.html,,,設置あり,34.804272, 135.475447
"POINT (135.515667 34.804453)",24155.0,大阪モノレール山田駅,Osaka Monorail Yamada Station,〒565-0824 大阪府吹田市山田西4-557,https://stamp.funakiya.com/osakamonorail-yamada.html,,,設置あり,34.804453, 135.515667
"POINT (135.554553 34.808044)",24156.0,大阪モノレール宇野辺駅,Osaka Monorail Unobe Station,〒567-0042 大阪府茨木市宇野辺1丁目,https://stamp.funakiya.com/osakamonorail-unobe.html,,,設置あり,34.808044, 135.554553
"POINT (135.561369 34.780178)",24157.0,大阪モノレール摂津駅,Osaka Monorail Settsu Station,〒566-0035 大阪府摂津市鶴野1-116-1,https://stamp.funakiya.com/osakamonorail-settsu.html,,,設置あり,34.780178, 135.561369
"POINT (135.5788 34.748953)",24158.0,大阪モノレール大日駅,Osaka Monorail Dainichi Station,〒570-0016 大阪府守口市大日東町117,https://stamp.funakiya.com/osakamonorail-dainichi.html,,,設置あり,34.748953, 135.5788
"POINT (135.583267 34.738214)",24160.0,大阪モノレール門真市駅,Osaka Monorail Kadoma-shi Station,〒571-0048 大阪府門真市新橋町36-7,https://stamp.funakiya.com/osakamonorail-kadomashi.html,,,設置あり,34.738214, 135.583267
"POINT (135.539656 34.810889)",24161.0,大阪モノレール公園東口駅,Osaka Monorail Kōen-higashiguchi Station,〒565-0826 大阪府吹田市千里万博公園78-4,https://stamp.funakiya.com/osakamonorail-koenhigashiguchi.html,,,設置あり,34.810889, 135.539656
"POINT (135.529747 34.818611)",24162.0,大阪モノレール阪大病院前駅,Osaka Monorail Handai-byōin-mae Station,〒567-0047 大阪府茨木市美穂ヶ丘4595-1,https://stamp.funakiya.com/osakamonorail-handaibyoinmae.html,,,設置あり,34.818611, 135.529747
"POINT (135.526775 34.834694)",24163.0,大阪モノレール豊川駅,Osaka Monorail Toyokawa Station,〒567-0057 大阪府茨木市豊川4丁目,https://stamp.funakiya.com/osakamonorail-toyokawa.html,,,設置あり,34.834694, 135.526775
"POINT (135.522931 34.855492)",24164.0,大阪モノレール彩都西駅,Osaka Monorail Saito-nishi Station,〒567-0085 大阪府茨木市彩都あさぎ1丁目,https://stamp.funakiya.com/osakamonorail-saitonishi.html,,,設置あり,34.855492, 135.522931
"POINT (135.494964 34.809786)",24165.0,北大阪急行千里中央駅,Kita-Osaka Kyuko Railway Senri-chuo Station,〒560-0082 大阪府豊中市新千里東町1-5-4,https://stamp.funakiya.com/kitaosaka-senrichuo.html,,,設置あり,34.809786,135.494964
"POINT (142.036586 42.936597)",24171.0,JR新夕張駅,JR Shin-Yūbari Station,〒068-0755 北海道夕張市紅葉山550,https://stamp.funakiya.com/jr-shinyubari.html,,,設置あり,42.936597, 142.036586
"POINT (142.832489 43.082419)",24173.0,JR新得駅,JR Shintoku Station,〒081-0005 北海道上川郡新得町本通北1-53,https://stamp.funakiya.com/jr-shintoku.html,,,設置あり,43.082419, 142.832489
"POINT (130.117078 33.095103)",24176.0,JR肥前浜駅,JR Hizen-Hama Station,〒849-1322 佐賀県鹿島市浜町933,https://stamp.funakiya.com/jr-hizenhama.html,,,設置あり,33.095103, 130.117078
"POINT (141.683 45.398194)",24177.0,JR南稚内駅,JR Minami-Wakkanai Station,〒097-0005 北海道稚内市大黒1-8-1,https://stamp.funakiya.com/jr-minamiwakkanai.html,,,設置あり,45.398194, 141.683
"POINT (133.126064 34.664756)",24183.0,JR備後矢野駅,JR Bingo-Yano Station,〒729-3415 広島県府中市上下町矢多田353-4,https://stamp.funakiya.com/jr-bingoyano.html,2008/4/1 無人化,,設置あり,34.664756, 133.126064
"POINT (133.117597 34.69495)",24184.0,JR上下駅,JR Jōge Station,〒729-3431 広島県府中市上下町上下847-2,https://stamp.funakiya.com/jr-joge.html,,,設置あり,34.69495, 133.117597
"POINT (132.759992 34.692611)",24185.0,JR甲立駅,JR Kōtachi Station,〒739-1101 広島県安芸高田市甲田町高田原1994,https://stamp.funakiya.com/jr-kotachi.html,,,設置あり,34.692611, 132.759992
"POINT (132.658039 34.554669)",24186.0,JR志和口駅,JR Shiwaguchi Station,〒739-1411 広島県広島市安佐北区白木町市川2193-2,https://stamp.funakiya.com/jr-shiwaguchi.html,2021/6/1 無人化,,設置あり,34.554669, 132.658039
