WKT,ID,名前,EN,住所,URL,無人化日,廃止日,スタンプ設置,住所判定用
"POINT (142.631948500217 44.878234829962885)",16369.0,道の駅マリーンアイランド岡島,Michinoeki Marine Island Okashima Station,〒098-5802 北海道枝幸郡枝幸町岡島1978-13,https://stamp.funakiya.com/miti-okajima.html,,,設置あり,44.878234829962885, 142.631948500217
"POINT (142.95963566093016 44.58305684719832)",16370.0,道の駅おうむ,Michinoeki Oumu Station,〒098-1702 北海道紋別郡雄武町雄武1885-14,https://stamp.funakiya.com/miti-oumu.html,,,設置あり,44.58305684719832, 142.95963566093016
"POINT (143.11628160988957 44.46935585109407)",16371.0,道の駅おこっぺ,Michinoeki Okoppe Station,〒098-1611 北海道紋別郡興部町興部1322-21,https://stamp.funakiya.com/miti-okoppe.html,,,設置あり,44.46935585109407, 143.11628160988957
"POINT (143.3746738498739 44.328594389031586)",16372.0,道の駅オホーツク紋別,Michinoeki Okhotsk Monbetsu Station,〒094-0023 北海道紋別市元紋別11,https://stamp.funakiya.com/miti-monbetsu.html,,,設置あり,44.328594389031586, 143.3746738498739
"POINT (143.09092454006193 44.19682733263335)",16373.0,道の駅香りの里たきのうえ,Michinoeki Kaorinosato Takinoue Station,〒099-5602 北海道紋別郡滝上町旭町,https://stamp.funakiya.com/miti-takinoue.html,,,設置あり,44.19682733263335, 143.09092454006193
"POINT (143.07652301424446 43.869771675376434)",16374.0,道の駅しらたき,Michinoeki Shirataki Station,〒099-0126 北海道紋別郡遠軽町奥白滝,https://stamp.funakiya.com/miti-shirataki.html,,,設置あり,43.869771675376434, 143.07652301424446
"POINT (144.4535812737866 43.93372372360589)",16379.0,道の駅はなやか小清水,Michinoeki Hanayaka Koshimizu Station,〒099-3452 北海道斜里郡小清水町浜小清水474-7,https://stamp.funakiya.com/miti-koshimizu.html,,,設置あり,43.93372372360589, 144.4535812737866
"POINT (144.66424790635782 43.91182105882657)",16382.0,道の駅しゃり,Michinoeki Shari Station,〒099-4113 北海道斜里郡斜里町本町37,https://stamp.funakiya.com/miti-syari.html,,,設置あり,43.91182105882657, 144.66424790635782
"POINT (144.4476684412407 43.492393630076215)",16385.0,道の駅摩周温泉,Michinoeki Mashu Onsen Station,〒088-3203 北海道川上郡弟子屈町湯の島3-5-5,https://stamp.funakiya.com/miti-masyu.html,,,設置あり,43.492393630076215, 144.4476684412407
"POINT (143.54656070074338 43.24434957863893)",16388.0,道の駅あしょろ銀河ホール21,Michinoeki Ashoro Gingahoru 21 Station,〒089-3701 北海道足寄郡足寄町北1条1丁目,https://stamp.funakiya.com/miti-ashoro.html,,,設置あり,43.24434957863893, 143.54656070074338
"POINT (143.61330483324969 43.12588348605439)",16389.0,道の駅ステラ★ほんべつ,Michinoeki Stella★Honbetsu Station,〒089-3334 北海道中川郡本別町北3-1-1,https://stamp.funakiya.com/miti-honbetsu.html,,,設置あり,43.12588348605439, 143.61330483324969
"POINT (142.03802973201493 42.93696914425528)",16396.0,道の駅夕張メロード,Michinoeki Yubari Meroad Station,〒068-0755 北海道夕張市紅葉山526-19,https://stamp.funakiya.com/miti-yubari.html,,,設置あり,42.93696914425528, 142.03802973201493
"POINT (139.75816960717196 36.09531902198563)",16407.0,道の駅ごか,Michinoeki Goka,〒306-0304 茨城県猿島郡五霞町幸主18-1,https://stamp.funakiya.com/miti-goka.html,,,設置あり,36.09531902198563, 139.75816960717196
"POINT (139.68713914026355 36.92990154426612)",16408.0,道の駅湯西川,Michinoeki Yunishigawa,〒321-2603 栃木県日光市西川478-1,https://stamp.funakiya.com/miti-yunishigawa.html,,,設置あり,36.92990154426612, 139.68713914026355
"POINT (139.7275772468001 37.08653615236554)",16409.0,道の駅たじま,Michinoeki Tajima,〒967-0014 福島県南会津郡南会津町糸沢男鹿沼原3242-6,https://stamp.funakiya.com/miti-tajima.html,,,設置あり,37.08653615236554, 139.7275772468001
"POINT (139.6252538126897 36.29667424907154)",16410.0,道の駅みかも,Michinoeki Mikamo,〒323-1107 栃木県栃木市藤岡町大田和678,https://stamp.funakiya.com/miti-mikamo.html,,,設置あり,36.29667424907154, 139.6252538126897
"POINT (136.9600991582993 36.641459935034916)",16440.0,道の駅砺波,Michinoeki Tonami,〒939-1388 富山県砺波市宮沢町3-9,https://stamp.funakiya.com/miti-tonami.html,,,設置あり,36.641459935034916, 136.9600991582993
"POINT (136.72350480005582 36.785965140551355)",16441.0,道の駅高松,Michinoeki Takamatsu,〒929-1211 石川県かほく市二ツ屋フ16-3,https://stamp.funakiya.com/miti-takamatsu.html,,,設置あり,36.785965140551355, 136.72350480005582
"POINT (136.96886086438616 37.049055508312954)",16442.0,道の駅能登食祭市場,Michinoeki Noto Shokusai Ichiba,〒926-0041 石川県七尾市府中町員外13-1,https://stamp.funakiya.com/miti-nanao.html,,,設置あり,37.049055508312954, 136.96886086438616
"POINT (137.04689754005796 37.028253916754814)",16443.0,道の駅いおり,Michinoeki Iori,〒926-0367 石川県七尾市庵町笹ケ谷内3-1,https://stamp.funakiya.com/miti-iori.html,,,設置あり,37.028253916754814, 137.04689754005796
"POINT (139.9003126975818 39.21993819711247)",16454.0,道の駅象潟,Michinoeki Kisakata,〒018-0121 秋田県にかほ市象潟町大塩越73-1,https://stamp.funakiya.com/miti-kisakata.html,,,設置あり,39.21993819711247, 139.9003126975818
"POINT (139.55828655433476 38.58034877563194)",16459.0,道の駅あつみ,Michinoeki Atsumi,〒999-7121 山形県鶴岡市早田戸ノ浦606,https://stamp.funakiya.com/miti-atsumi.html,,,設置あり,38.58034877563194, 139.55828655433476
"POINT (136.90622964010615 37.388967048897136)",16601.0,道の駅輪島,Michinoeki Wajima,〒928-0001 石川県輪島市河井町20部1-131,https://stamp.funakiya.com/miti-wajima.html,,,設置あり,37.388967048897136, 136.90622964010615
"POINT (136.99771996221276 37.42423132431234)",16603.0,道の駅千枚田ポケットパーク,Michinoeki Senmaida Pocket Park,〒928-0256 石川県輪島市白米町八部99-4,https://stamp.funakiya.com/miti-senmaida.html,,,設置あり,37.42423132431234, 136.99771996221276
"POINT (136.95713031344005 37.29532950600905)",16605.0,道の駅のと里山空港,Michinoeki Noto Satoyam Airport,〒929-2372 石川県輪島市三井町洲衛10部11-1,https://stamp.funakiya.com/miti-notokuko.html,,,設置あり,37.29532950600905, 136.95713031344005
"POINT (137.0112003449605 37.33140353476233)",16606.0,道の駅桜峠,Michinoeki Sakuratoge,〒928-0334 石川県鳳珠郡能登町当目2-24-24,https://stamp.funakiya.com/miti-sakuratoge.html,,,設置あり,37.33140353476233, 137.0112003449605
"POINT (136.9801092550631 36.574304461148785)",16607.0,道の駅庄川,Michinoeki Shogawa,〒932-0315 富山県砺波市庄川町示野437,https://stamp.funakiya.com/miti-syogawa.html,,,設置あり,36.574304461148785, 136.9801092550631
"POINT (136.9777885624029 36.561473924403195)",16608.0,道の駅井波,Michinoeki Inami,〒932-0226 富山県南砺市北川730,https://stamp.funakiya.com/miti-inami.html,,,設置あり,36.561473924403195, 136.9777885624029
"POINT (140.40293268693813 36.0961648368438)",16697.0,道の駅たまつくり,Michinoeki Tamatsukuri,〒311-3512 茨城県行方市玉造甲1451-1,https://stamp.funakiya.com/miti-tamatsukuri.html,,,設置あり,36.0961648368438, 140.40293268693813
"POINT (139.98681196111582 36.216183934035435)",16720.0,道の駅しもつま,Michinoeki Shimotsuma,〒304-0016 茨城県下妻市数須140,https://stamp.funakiya.com/miti-shimotsuma.html,,,設置あり,36.216183934035435, 139.98681196111582
"POINT (139.13640876272478 36.45907635443013)",16723.0,道の駅ぐりーんふらわー牧場・大胡,Michinoeki Green Flower Stock Farm・Ogo,〒371-0235 群馬県前橋市滝窪町1369-1,https://stamp.funakiya.com/miti-oogo.html,,,設置あり,36.45907635443013, 139.13640876272478
"POINT (139.09501904772262 36.46906492455321)",16725.0,道の駅ふじみ,Michinoeki Fujimi,〒371-0105 群馬県前橋市富士見町石井1569-1,https://stamp.funakiya.com/miti-fujimi-gumma.html,,,設置あり,36.46906492455321, 139.09501904772262
"POINT (139.27170616485827 36.49123192509649)",16727.0,道の駅くろほね・やまびこ,Michinoeki Kurohone・Yamabiko,〒376-0144 群馬県桐生市黒保根町下田沢91-4,https://stamp.funakiya.com/miti-kurohone.html,,,設置あり,36.49123192509649, 139.27170616485827
"POINT (139.37284667103705 36.55337176547128)",16733.0,道の駅富弘美術館,Michinoeki Tomihirobijutsukan,〒376-0302 群馬県みどり市東町草木86,https://stamp.funakiya.com/miti-tomihiro.html,,,設置あり,36.55337176547128, 139.37284667103705
"POINT (138.95088758491534 34.67475205570789)",16802.0,道の駅開国下田みなと,Michinoeki Shimoda Minato,〒415-0000 静岡県下田市外ケ岡1-1,https://stamp.funakiya.com/miti-shimoda.html,,,設置あり,34.67475205570789, 138.95088758491534
"POINT (138.86656505171027 34.64970204864528)",16803.0,道の駅下賀茂温泉湯の花,Michinoeki Shimogamo Onsen Yu-no-hana,〒415-0303 静岡県賀茂郡南伊豆町下賀茂157-1,https://stamp.funakiya.com/miti-shimogamoonsen.html,,,設置あり,34.64970204864528, 138.86656505171027
